Placa;CNPJ;ANTT;Proprietario;Inscricao Estadual;UF Registro;Empresa Proprietario
HDE8J57;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TDD9D41;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TDG1F07;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TDI4I56;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
SHL5J67;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RVY6H13;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TDT5G33;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TEQ7D45;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TES9A83;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TER4B25;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TEW0H66;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TEW0H64;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TXC2I20;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
TEX5B78;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
